Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date,State
1.0572755798985378,0.023112388369784253,1.0149681063559959,1.0211264675741902,1.0971213888287423,1.0562323280722152,1.0971213888287423,1.0971213888287423,1.1051284191801187,2020-04-16,SP
1.1756946047652752,0.022370121367714973,1.1340046699143465,1.1402142389499756,1.213792750679174,1.1749258483347562,1.213792750679174,1.213792750679174,1.2215652032320372,2020-04-17,SP
1.3613054639349838,0.026158681121231042,1.3102397495724638,1.318091645952426,1.4038984362290041,1.3615849962869284,1.4038984362290041,1.4038984362290041,1.411861269108244,2020-04-18,SP
1.3086678414426307,0.045128895300677666,1.2149093708315133,1.2279970146190204,1.3736229839642877,1.3146019007377614,1.3736229839642877,1.3736229839642877,1.3817549983984914,2020-04-19,SP
1.2744997166814167,0.0550048606272086,1.1764611865587427,1.1871271651888045,1.3634557005011119,1.275747345448071,1.3634557005011119,1.3634557005011119,1.3756936383018523,2020-04-20,SP
1.2760095585734001,0.05376927088776726,1.1867798073698645,1.1955017962430072,1.3682560082077588,1.2738870824792334,1.3682560082077588,1.3682560082077588,1.3832300299964067,2020-04-21,SP
0.9792341799439991,0.039375894390200304,0.9125486164957334,0.9195624212300435,1.0462308543978203,0.977726683223683,1.0462308543978203,1.0462308543978203,1.0568164361907586,2020-04-22,SP
1.0094505910769018,0.026914286428159323,0.9583777241267817,0.965317683224145,1.053975175613489,1.0095386360260101,1.053975175613489,1.053975175613489,1.061720674796333,2020-04-23,SP
0.9650072952829792,0.022049709920646636,0.9209674163276697,0.9274849457743196,1.0001414146999374,0.9657257530686272,1.0001414146999374,1.0001414146999374,1.0062389741339843,2020-04-24,SP
1.181323154398371,0.02656072409945122,1.1301914029475344,1.13741091381753,1.2244523272638415,1.1815972545933455,1.2244523272638415,1.2244523272638415,1.2316143774342925,2020-04-25,SP
1.2296830651704538,0.020439287079424637,1.1901188329945962,1.1963133643698933,1.2637643683597979,1.229431032265639,1.2637643683597979,1.2637643683597979,1.2704356749540975,2020-04-26,SP
1.3129341389168503,0.03207646528899654,1.2454197968939773,1.2551088707978038,1.3590305674694148,1.3174279714328212,1.3590305674694148,1.3590305674694148,1.3653621615860378,2020-04-27,SP
1.5242791045172404,0.05548306907468146,1.4172129610267834,1.430371991021707,1.6081920935374485,1.5289885305000537,1.6081920935374485,1.6081920935374485,1.618270519121651,2020-04-28,SP
1.6790522306570965,0.0937891464120458,1.4976217430962042,1.521177163459991,1.8255381544993854,1.6867350010813524,1.8255381544993854,1.8255381544993854,1.8433786369566931,2020-04-29,SP
1.773707854639903,0.1350503856765624,1.5263563159051277,1.5563762505049608,1.9948018136869223,1.7798019653789128,1.9948018136869223,1.9948018136869223,2.021058932184333,2020-04-30,SP
1.6504532188655978,0.14908341008685844,1.39186683831722,1.4201430152158634,1.9054952202465905,1.6513729355969335,1.9054952202465905,1.9054952202465905,1.9369533124454243,2020-05-01,SP
1.3009636569899152,0.1152530619483903,1.1175447489895673,1.1333741117548135,1.5063455717764076,1.2946573057080903,1.5063455717764076,1.5063455717764076,1.5345848112255411,2020-05-02,SP
1.1749003143479615,0.07588488624297825,1.0671699450798697,1.0741292594637242,1.3150577300707336,1.164643752003659,1.3150577300707336,1.3150577300707336,1.337547096544187,2020-05-03,SP
1.0528156757243945,0.04335071667165,0.9805103919422131,0.9879740976481399,1.1288739043868643,1.048272793269123,1.1288739043868643,1.1288739043868643,1.138789207381719,2020-05-04,SP
0.973450294960228,0.02882558164894713,0.9168454471817593,0.9236368459704383,1.0188716083019744,0.9753261177469437,1.0188716083019744,1.0188716083019744,1.0263833616690337,2020-05-05,SP
1.1259731055769886,0.032042631664361686,1.065128905166978,1.0718775058101193,1.1757826141541294,1.1270008362097732,1.1757826141541294,1.1757826141541294,1.18266503752848,2020-05-06,SP
1.0676778400821871,0.022922038803900684,1.0228938484020675,1.0296900464605023,1.1057663050581998,1.0675115699532778,1.1057663050581998,1.1057663050581998,1.1125608310978061,2020-05-07,SP
1.0715040211079006,0.017310663874605697,1.041070389237083,1.045302283556148,1.1019630505336708,1.0702193979545538,1.1019630505336708,1.1019630505336708,1.1080644373716368,2020-05-08,SP
1.2215639027659493,0.016714324435623734,1.1914347721956113,1.195685398498865,1.2507116362082187,1.220637530794956,1.2507116362082187,1.2507116362082187,1.2566260514231673,2020-05-09,SP
1.228315565629775,0.023319482779281694,1.1796443234622993,1.1867215812820704,1.2625235672204735,1.2309854774173057,1.2625235672204735,1.2625235672204735,1.2674930814903085,2020-05-10,SP
1.2048876137519793,0.0332451952144343,1.1419980303512665,1.1490296287382662,1.2551237340629637,1.2076951372987208,1.2551237340629637,1.2551237340629637,1.2612470790677268,2020-05-11,SP
1.1342593739845535,0.03380877239929018,1.0761153132093644,1.0818388606334062,1.190011464997619,1.1343064771253335,1.190011464997619,1.190011464997619,1.1979610272293677,2020-05-12,SP
1.0619457157832983,0.027044060921451608,1.0173645792271997,1.021715599735213,1.1083600372476463,1.0603356059867715,1.1083600372476463,1.1083600372476463,1.1158185838369648,2020-05-13,SP
1.1249005730543218,0.02078002339879288,1.0871542290823815,1.0918653479716984,1.1596898445531167,1.124321308499899,1.1596898445531167,1.1596898445531167,1.1652170869485032,2020-05-14,SP
1.2690064055427182,0.02019434311582418,1.2329436532189042,1.2373108817142309,1.302437332511053,1.2684718280564478,1.302437332511053,1.302437332511053,1.307596262909062,2020-05-15,SP
1.240608622800515,0.030246212788251837,1.1779255406929656,1.1866771500561704,1.2841574260859223,1.2443357634650813,1.2841574260859223,1.2841574260859223,1.2893795086079238,2020-05-16,SP
1.1956072445089274,0.03732147221860623,1.1271802465404817,1.1344066412353928,1.2527348933130744,1.1979557632334341,1.2527348933130744,1.2527348933130744,1.258736352970737,2020-05-17,SP
